Opportunity Id,Opportunity Name,Opportunity Category,Gender,Country,Current/Intended Major,Status Description,Status Code,Age,Learner SignUp DateTime_year,Learner SignUp DateTime_month,Learner SignUp DateTime_day,Learner SignUp DateTime_hour,Learner SignUp DateTime_minute,Learner SignUp DateTime_second,Opportunity End Date_year,Opportunity End Date_month,Opportunity End Date_day,Opportunity End Date_hour,Opportunity End Date_minute,Opportunity End Date_second,Entry created at_year,Entry created at_month,Entry created at_day,Entry created at_hour,Entry created at_minute,Entry created at_second,Apply Date_year,Apply Date_month,Apply Date_day,Apply Date_hour,Apply Date_minute,Apply Date_second,Opportunity Start Date_year,Opportunity Start Date_month,Opportunity Start Date_day,Opportunity Start Date_hour,Opportunity Start Date_minute,Opportunity Start Date_second
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Female,Pakistan,radiology,Started,1080,24,2023.0,6.0,14.0,12.0,30.0,35.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,6.0,14.0,12.0,36.0,9.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Female,India,it,Started,1080,24,2023.0,5.0,1.0,5.0,29.0,16.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,5.0,1.0,6.0,8.0,21.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Male,United States,computer science,Started,1080,23,2023.0,4.0,9.0,20.0,35.0,8.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2024.0,2.0,15.0,14.0,30.0,29.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Female,United States,it,Team Allocated,1070,25,2023.0,8.0,29.0,5.0,20.0,3.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,10.0,9.0,22.0,2.0,42.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Male,United States,computer science,Started,1080,25,2023.0,1.0,6.0,15.0,26.0,36.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,1.0,6.0,15.0,40.0,10.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Male,India,mechanical engineering,Waitlisted,1040,28,2024.0,3.0,2.0,19.0,16.0,7.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2024.0,3.0,2.0,20.0,30.0,35.0,2024.0,3.0,8.0,14.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Male,India,computer science,Withdraw,1110,23,2023.0,5.0,31.0,7.0,11.0,4.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,6.0,14.0,5.0,29.0,41.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Female,United Arab Emirates,artificial intelligence,Team Allocated,1070,19,2023.0,7.0,22.0,7.0,30.0,25.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,7.0,22.0,7.0,44.0,24.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Male,India,robotics,Started,1080,19,2023.0,3.0,20.0,16.0,36.0,30.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,5.0,24.0,13.0,44.0,9.0,2022.0,11.0,3.0,18.0,30.0,39.0
0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,Female,India,computer science,Team Allocated,1070,26,2023.0,5.0,11.0,3.0,40.0,33.0,2024.0,6.0,29.0,18.0,52.0,39.0,2024,3,11,12,1,41,2023.0,12.0,17.0,2.0,58.0,44.0,2022.0,11.0,3.0,18.0,30.0,39.0
